Asset,Date,Open,High,Low,Close,Adj Close,Volume
USDT,2017-11-09,1.01087,1.01327,0.996515,1.00818,1.00818,358188000
USDT,2017-11-10,1.0065,1.02423,0.995486,1.00601,1.00601,756446016
USDT,2017-11-11,1.00598,1.02621,0.995799,1.00899,1.00899,746227968
USDT,2017-11-12,1.00602,1.10591,0.967601,1.01247,1.01247,1466060032
USDT,2017-11-13,1.00448,1.02929,0.975103,1.00935,1.00935,767884032
USDT,2017-11-14,1.00524,1.01343,0.996898,1.00683,1.00683,429857984
USDT,2017-11-15,1.00458,1.01163,1.00025,1.00318,1.00318,449671008
USDT,2017-11-16,1.00582,1.01089,0.993232,1.00212,1.00212,650278976
USDT,2017-11-17,0.995758,1.01181,0.995758,1.00139,1.00139,639398016
USDT,2017-11-18,1.00065,1.00918,0.99634,1.00231,1.00231,588136000
USDT,2017-11-19,1.00237,1.00749,0.996693,1.00244,1.00244,485752992
USDT,2017-11-20,1.00138,1.00298,0.996538,1.00192,1.00192,449595008
USDT,2017-11-21,1.00347,1.0112,0.988572,0.996047,0.996047,622649024
USDT,2017-11-22,0.997427,1.0034,0.992789,1.00015,1.00015,499812000
USDT,2017-11-23,0.998658,1.00634,0.992239,0.994631,0.994631,735883008
USDT,2017-11-24,1.00414,1.00713,0.988004,1.00233,1.00233,848627968
USDT,2017-11-25,1.00232,1.00907,0.995076,1.00541,1.00541,651987968
USDT,2017-11-26,1.00422,1.01742,1.00056,1.00868,1.00868,636451968
USDT,2017-11-27,1.00675,1.02017,0.998126,1.00129,1.00129,784436992
USDT,2017-11-28,1.00287,1.00648,0.996048,1.00014,1.00014,794764032
USDT,2017-11-29,1.00013,1.04845,0.955618,0.990606,0.990606,1672120064
USDT,2017-11-30,1.00386,1.02867,0.989319,1.0081,1.0081,1043969984
USDT,2017-12-01,1.0072,1.01921,0.993043,1.00978,1.00978,749395968
USDT,2017-12-02,1.00895,1.01677,0.995611,0.999654,0.999654,679950016
USDT,2017-12-03,1.00102,1.02954,0.98532,1.00066,1.00066,946748992
USDT,2017-12-04,1.00245,1.01405,0.992132,1.00367,1.00367,668510016
USDT,2017-12-05,1.00351,1.00837,0.996458,1.00197,1.00197,814145984
USDT,2017-12-06,0.99976,1.02004,0.99584,1.00991,1.00991,1281490048
USDT,2017-12-07,1.00707,1.07695,1.00107,1.03166,1.03166,1671609984
USDT,2017-12-08,1.03633,1.05766,0.986563,1.0176,1.0176,1993030016
USDT,2017-12-09,1.02058,1.04726,0.99356,1.01713,1.01713,1598909952
USDT,2017-12-10,1.02206,1.04466,0.971536,1.01775,1.01775,1649500032
USDT,2017-12-11,1.01272,1.02963,0.99995,1.01856,1.01856,1542119936
USDT,2017-12-12,1.01882,1.08167,1.00087,1.07788,1.07788,2240839936
USDT,2017-12-13,1.08095,1.088,1.01946,1.02716,1.02716,2198139904
USDT,2017-12-14,1.02672,1.05142,1.00669,1.00819,1.00819,2336179968
USDT,2017-12-15,1.00982,1.01873,0.995525,1.0161,1.0161,2044499968
USDT,2017-12-16,1.01736,1.01937,1.00182,1.00742,1.00742,1592729984
USDT,2017-12-17,1.01174,1.0164,1.00286,1.00924,1.00924,1931020032
USDT,2017-12-18,1.01052,1.0183,0.99574,1.01302,1.01302,2517230080
USDT,2017-12-19,1.01313,1.03397,0.996768,1.01068,1.01068,3073860096
USDT,2017-12-20,1.00841,1.01919,0.989079,1.00018,1.00018,3751790080
USDT,2017-12-21,1.00231,1.04041,0.993811,1.00921,1.00921,3106720000
USDT,2017-12-22,1.00635,1.05909,0.963089,1.01795,1.01795,4687949824
USDT,2017-12-23,1.01239,1.052,1.00726,1.04526,1.04526,2353740032
USDT,2017-12-24,1.05071,1.06922,1.02183,1.02303,1.02303,2611589888
USDT,2017-12-25,1.02648,1.03172,1.00894,1.01113,1.01113,1708380032
USDT,2017-12-26,1.01049,1.01732,0.99858,1.00407,1.00407,1854780032
USDT,2017-12-27,1.00469,1.01484,0.996458,1.00366,1.00366,1939949952
USDT,2017-12-28,1.00331,1.03306,1.00055,1.00659,1.00659,2211409920
USDT,2017-12-29,1.01095,1.01519,1.00088,1.00564,1.00564,1929090048
USDT,2017-12-30,1.00772,1.03478,0.992842,1.02135,1.02135,2711059968
USDT,2017-12-31,1.02431,1.02431,1.00027,1.01226,1.01226,1927010048
USDT,2018-01-01,1.01255,1.01536,1.00153,1.00728,1.00728,1685299968
USDT,2018-01-02,1.00574,1.00988,0.99325,1.0049,1.0049,2635859968
USDT,2018-01-03,1.0066,1.02328,1.00264,1.01344,1.01344,2471689984
USDT,2018-01-04,1.0132,1.01618,0.993822,1.00253,1.00253,3200130048
USDT,2018-01-05,1.00175,1.00501,0.985915,0.998634,0.998634,3096620032
USDT,2018-01-06,1.00028,1.01209,0.996847,1.00899,1.00899,2620080128
USDT,2018-01-07,1.00727,1.01572,0.998208,1.00157,1.00157,2338180096
USDT,2018-01-08,1.00514,1.04236,0.997617,1.00932,1.00932,3815749888
USDT,2018-01-09,1.00858,1.0143,1.00066,1.00599,1.00599,2766180096
USDT,2018-01-10,1.00515,1.01382,0.996446,1.00128,1.00128,3189860096
USDT,2018-01-11,0.999976,1.02352,0.990198,1.00171,1.00171,3841110016
USDT,2018-01-12,1.00625,1.0191,0.997711,1.00608,1.00608,2668219904
USDT,2018-01-13,1.00413,1.01256,0.996576,1.00202,1.00202,2759879936
USDT,2018-01-14,1.00436,1.04031,1.00064,1.01612,1.01612,2960410112
USDT,2018-01-15,1.01539,1.024,1.00172,1.00662,1.00662,2557179904
USDT,2018-01-16,1.00677,1.04645,0.999001,1.03415,1.03415,5552929792
USDT,2018-01-17,1.03287,1.06989,0.997739,1.01453,1.01453,5588839936
USDT,2018-01-18,1.01726,1.0399,1.00127,1.02311,1.02311,4302300160
USDT,2018-01-19,1.02332,1.04222,1.00249,1.00454,1.00454,2876989952
USDT,2018-01-20,1.00699,1.0135,0.991443,1.00111,1.00111,2942779904
USDT,2018-01-21,1.00292,1.02661,0.997069,0.999861,0.999861,3302010112
USDT,2018-01-22,1.004,1.01931,0.99151,1.00504,1.00504,3274899968
USDT,2018-01-23,1.004,1.01953,0.984474,1.00505,1.00505,3126830080
USDT,2018-01-24,1.00084,1.0307,0.992246,0.997484,0.997484,2620630016
USDT,2018-01-25,1.00553,1.01274,0.987358,0.999595,0.999595,2571930112
USDT,2018-01-26,0.997571,1.02154,0.985767,1.00414,1.00414,2957009920
USDT,2018-01-27,1.00281,1.0098,0.992227,0.993325,0.993325,2051980032
USDT,2018-01-28,0.996548,1.0011,0.981275,0.98879,0.98879,2546639872
USDT,2018-01-29,0.98844,1.00158,0.981718,0.995319,0.995319,2031160064
USDT,2018-01-30,0.998672,1.01238,0.975436,0.986486,0.986486,3108630016
USDT,2018-01-31,0.992538,1.0026,0.971403,0.990274,0.990274,2663930112
USDT,2018-02-01,0.991558,1.01161,0.954771,0.986939,0.986939,3498899968
USDT,2018-02-02,0.986294,1.02023,0.925144,0.990747,0.990747,4785869824
USDT,2018-02-03,0.994071,1.01587,0.982879,1.00131,1.00131,2488529920
USDT,2018-02-04,1.00438,1.01013,0.975209,1.01013,1.01013,2504640000
USDT,2018-02-05,0.995794,1.01628,0.944777,0.996308,0.996308,4078980096
USDT,2018-02-06,0.9785,1.02017,0.958318,1.01009,1.01009,6247249920
USDT,2018-02-07,1.00215,1.01989,0.984647,1.0014,1.0014,3307539968
USDT,2018-02-08,0.99497,1.03403,0.987534,1.01891,1.01891,2466619904
USDT,2018-02-09,1.02109,1.04818,0.995049,1.00211,1.00211,1631139968
USDT,2018-02-10,1.00348,1.01495,0.993346,1.0037,1.0037,2628379904
USDT,2018-02-11,1.00492,1.01252,0.992728,0.999251,0.999251,2431739904
USDT,2018-02-12,1.00021,1.00796,0.990812,1.00009,1.00009,2457489920
USDT,2018-02-13,1.0008,1.00865,0.995931,1.0011,1.0011,2226759936
USDT,2018-02-14,0.997715,1.00681,0.993292,1.00077,1.00077,3066190080
USDT,2018-02-15,1.00504,1.01921,0.997203,1.00541,1.00541,3286909952
USDT,2018-02-16,1.00504,1.01002,0.996746,1.0021,1.0021,2605819904
USDT,2018-02-17,1.00474,1.01161,0.996919,1.0037,1.0037,2797600000
USDT,2018-02-18,1.00468,1.01619,0.998832,1.00519,1.00519,3124179968
USDT,2018-02-19,1.00133,1.00608,0.994041,1.00061,1.00061,2546439936
USDT,2018-02-20,1.00065,1.00961,0.994081,1.00061,1.00061,3126220032
USDT,2018-02-21,1.00536,1.01039,0.988699,1.00097,1.00097,3459830016
USDT,2018-02-22,1.00153,1.01075,0.993998,1.00409,1.00409,2904620032
USDT,2018-02-23,1.00845,1.00966,0.993702,1.00157,1.00157,2815280128
USDT,2018-02-24,1.00114,1.014,0.993887,1.00284,1.00284,2417710080
USDT,2018-02-25,1.00479,1.009,0.996229,1.00034,1.00034,1968850048
USDT,2018-02-26,0.997664,1.00952,0.989677,0.999561,0.999561,2362210048
USDT,2018-02-27,0.998677,1.00847,0.991642,1.00052,1.00052,2473019904
USDT,2018-02-28,1.00329,1.00705,0.992791,0.998903,0.998903,2414230016
USDT,2018-03-01,0.999847,1.00518,0.995679,1.00042,1.00042,2285570048
USDT,2018-03-02,0.998189,1.0056,0.994439,0.99973,0.99973,2172250112
USDT,2018-03-03,0.995248,1.00619,0.993477,1.00087,1.00087,2181489920
USDT,2018-03-04,1.00019,1.00495,0.995287,0.997612,0.997612,2133910016
USDT,2018-03-05,0.997521,1.00172,0.995019,0.998864,0.998864,2227680000
USDT,2018-03-06,1.00504,1.00596,0.99626,1.0005,1.0005,2491849984
USDT,2018-03-07,0.998354,1.02412,0.981378,1.00248,1.00248,3037380096
USDT,2018-03-08,1.00153,1.01134,0.985734,1.00591,1.00591,2636689920
USDT,2018-03-09,0.999723,1.01349,0.988564,1.00166,1.00166,3131620096
USDT,2018-03-10,0.997607,1.01348,0.994936,1.00519,1.00519,2218810112
USDT,2018-03-11,1.00347,1.01356,0.994709,1.00384,1.00384,2394810112
USDT,2018-03-12,1.00018,1.01408,0.98853,1.00235,1.00235,2155559936
USDT,2018-03-13,1.00184,1.01209,0.987195,0.999843,0.999843,1890040064
USDT,2018-03-14,0.996581,1.02033,0.991337,1.00275,1.00275,2151670016
USDT,2018-03-15,1.00066,1.01192,0.984939,1.00128,1.00128,2259869952
USDT,2018-03-16,0.997509,1.01151,0.989567,0.998551,0.998551,1872050048
USDT,2018-03-17,1.00155,1.00959,0.990731,1.00162,1.00162,1687920000
USDT,2018-03-18,1.00517,1.01352,0.979781,1.00308,1.00308,2639470080
USDT,2018-03-19,0.982194,1.02082,0.982194,0.989867,0.989867,2638089984
USDT,2018-03-20,1.00602,1.00633,0.98957,0.996832,0.996832,2506319872
USDT,2018-03-21,0.996938,1.00901,0.992647,0.999244,0.999244,2353890048
USDT,2018-03-22,0.99946,1.01118,0.993468,0.998982,0.998982,2171849984
USDT,2018-03-23,0.999221,1.00861,0.990235,0.990235,0.990235,1995699968
USDT,2018-03-24,1.00164,1.0091,0.994299,1.0091,1.0091,1785500032
USDT,2018-03-25,1.00012,1.01018,0.994482,0.999686,0.999686,1511320064
USDT,2018-03-26,0.9966,1.01308,0.983682,1.00341,1.00341,2183960064
USDT,2018-03-27,1.00242,1.01292,0.989473,1.00161,1.00161,2051079936
USDT,2018-03-28,1.00228,1.00999,0.993721,0.999204,0.999204,1857049984
USDT,2018-03-29,1.0026,1.01102,0.982472,0.998623,0.998623,2486609920
USDT,2018-03-30,0.995897,1.00847,0.979633,0.998943,0.998943,2596849920
USDT,2018-03-31,0.997014,1.00849,0.993569,1.00077,1.00077,1763719936
USDT,2018-04-01,0.995702,1.00985,0.980778,0.99981,0.99981,1832530048
USDT,2018-04-02,1.00333,1.00725,0.98806,1.00013,1.00013,1550880000
USDT,2018-04-03,0.997587,1.00704,0.995073,1.00037,1.00037,1753520000
USDT,2018-04-04,1.00398,1.01452,0.99427,1.00083,1.00083,1772329984
USDT,2018-04-05,1.00205,1.00976,0.987434,1.00253,1.00253,1609469952
USDT,2018-04-06,1.00031,1.01101,0.991376,1.00109,1.00109,1257110016
USDT,2018-04-07,1.00174,1.00578,0.98652,0.999644,0.999644,1332259968
USDT,2018-04-08,1.00153,1.0058,0.995091,0.996809,0.996809,1090880000
USDT,2018-04-09,0.997541,1.0089,0.993393,0.997555,0.997555,1678770048
USDT,2018-04-10,0.996953,1.00371,0.991744,0.997356,0.997356,1253949952
USDT,2018-04-11,0.997593,1.00239,0.992521,1.00025,1.00025,1741699968
USDT,2018-04-12,0.996408,1.02059,0.986025,0.996831,0.996831,3636590080
USDT,2018-04-13,0.995839,1.00989,0.989434,0.998895,0.998895,3218919936
USDT,2018-04-14,1.00183,1.00968,0.993994,0.999766,0.999766,2060220032
USDT,2018-04-15,0.996308,1.00594,0.986564,0.998602,0.998602,2057859968
USDT,2018-04-16,0.998884,1.01027,0.995754,0.997592,0.997592,2125180032
USDT,2018-04-17,0.997217,1.00628,0.99132,0.998556,0.998556,2075650048
USDT,2018-04-18,1.00066,1.00853,0.983284,0.997609,0.997609,2112089984
USDT,2018-04-19,0.997907,1.00284,0.992889,0.997185,0.997185,2217799936
USDT,2018-04-20,0.99755,1.00491,0.988285,0.998338,0.998338,3458870016
USDT,2018-04-21,0.997071,1.00978,0.993816,0.999014,0.999014,3570040064
USDT,2018-04-22,1.00431,1.01115,0.989191,0.996196,0.996196,3176019968
USDT,2018-04-23,0.99513,1.00399,0.98878,0.997847,0.997847,3075480064
USDT,2018-04-24,0.998974,1.00745,0.990297,1.00476,1.00476,5033249792
USDT,2018-04-25,1.00509,1.01705,0.986074,0.991809,0.991809,6126580224
USDT,2018-04-26,1.00226,1.00916,0.992381,0.999614,0.999614,4206320128
USDT,2018-04-27,1.00205,1.00848,0.995122,1.00415,1.00415,4060179968
USDT,2018-04-28,1.00078,1.00881,0.991015,0.999335,0.999335,4066050048
USDT,2018-04-29,0.998866,1.01378,0.992304,0.998016,0.998016,5167799808
USDT,2018-04-30,0.997553,1.01283,0.992921,0.998919,0.998919,4498440192
USDT,2018-05-01,1.00025,1.01201,0.993633,1.00349,1.00349,3901110016
USDT,2018-05-02,1.00062,1.00465,0.992736,0.997464,0.997464,3711889920
USDT,2018-05-03,0.996267,1.00527,0.99392,0.997973,0.997973,4307829760
USDT,2018-05-04,1.00581,1.00581,0.992204,0.998561,0.998561,3844979968
USDT,2018-05-05,0.999448,1.00132,0.992373,0.996284,0.996284,3848780032
USDT,2018-05-06,0.995906,1.00815,0.992321,0.997202,0.997202,3948859904
USDT,2018-05-07,0.995351,1.00693,0.99085,0.997237,0.997237,4137240064
USDT,2018-05-08,0.998745,1.00828,0.994675,1.00212,1.00212,3317769984
USDT,2018-05-09,1.00202,1.00699,0.993117,1.00051,1.00051,3236689920
USDT,2018-05-10,0.999422,1.01113,0.995984,1.00134,1.00134,3430200064
USDT,2018-05-11,1.00407,1.01363,0.982996,1.00225,1.00225,4733060096
USDT,2018-05-12,0.99975,1.01934,0.984735,1.0011,1.0011,4539990016
USDT,2018-05-13,1.00049,1.00652,0.993248,1.00325,1.00325,3179099904
USDT,2018-05-14,1.00197,1.01107,0.989507,1.00127,1.00127,3820280064
USDT,2018-05-15,1.00054,1.01302,0.993853,1.00114,1.00114,3315440128
USDT,2018-05-16,1.00215,1.01343,0.990384,0.99995,0.99995,3238190080
USDT,2018-05-17,1.00062,1.0077,0.996747,1.00019,1.00019,3026749952
USDT,2018-05-18,1.00249,1.00435,0.993732,1.00111,1.00111,3051709952
USDT,2018-05-19,1.00021,1.00695,0.99425,1.00036,1.00036,2569299968
USDT,2018-05-20,1.00147,1.00466,0.990756,0.999117,0.999117,2610939904
USDT,2018-05-21,0.999592,1.00754,0.996845,1.00297,1.00297,2406449920
USDT,2018-05-22,1.00313,1.00649,0.996062,1.00297,1.00297,2417590016
USDT,2018-05-23,1.00077,1.01392,0.996053,1.00402,1.00402,3360600064
USDT,2018-05-24,1.00135,1.01249,0.993728,0.998818,0.998818,3122710016
USDT,2018-05-25,0.999292,1.014,0.990553,1.00044,1.00044,2375610112
USDT,2018-05-26,1.00297,1.00865,0.982905,0.99989,0.99989,1872140032
USDT,2018-05-27,1.00176,1.00685,0.991551,0.999182,0.999182,1885900032
USDT,2018-05-28,1.00057,1.01073,0.987478,1.00249,1.00249,2582710016
USDT,2018-05-29,0.99927,1.00981,0.98579,1.00068,1.00068,3003919872
USDT,2018-05-30,0.999487,1.00982,0.995158,0.999727,0.999727,2429060096
USDT,2018-05-31,1.002,1.00748,0.994691,0.998003,0.998003,2613339904
USDT,2018-06-01,0.999088,1.00865,0.994694,1.00099,1.00099,2486080000
USDT,2018-06-02,1.00018,1.00564,0.986231,0.99353,0.99353,3187569920
USDT,2018-06-03,0.99203,1.00376,0.986847,1.0001,1.0001,2796300032
USDT,2018-06-04,0.997714,1.0068,0.995257,1.00052,1.00052,2798279936
USDT,2018-06-05,0.999263,1.01146,0.990879,1.00102,1.00102,2796069888
USDT,2018-06-06,0.997917,1.01261,0.990877,1.00069,1.00069,2508359936
USDT,2018-06-07,0.999463,1.00573,0.996242,0.99875,0.99875,2554540032
USDT,2018-06-08,0.99994,1.00839,0.99433,1.00179,1.00179,2219579904
USDT,2018-06-09,1.00206,1.01221,0.999194,1.00608,1.00608,2006880000
USDT,2018-06-10,1.00937,1.01532,0.989031,0.998215,0.998215,3845029888
USDT,2018-06-11,1.0053,1.01029,0.991656,1.00193,1.00193,2913220096
USDT,2018-06-12,1.00404,1.01909,0.998669,1.00077,1.00077,2702340096
USDT,2018-06-13,1.00475,1.02577,0.994316,1.00353,1.00353,3056750080
