BTC
ETH
USDT
USDC
BNB
BUSD
XRP
ADA
SOL
DOGE
DOT
SHIB
DAI
AVAX
MATIC
TRX
WBTC
UNI
LEO
ETC
LTC
FTT
ATOM
LINK
NEAR
CRO
XMR
XLM
BCH
FLOW
ALGO
VET
EOS
FIL
ICP
APE
MANA
SAND
CHZ
XTZ
HBAR
QNT
AAVE
EGLD
THETA
AXS
TUSD
BSV
OKB
ZEC
KCS
USDP
BTT
MKR
HNT
MIOTA
GRT
FTM
KLAY
XEC
USDD
RUNE
SNX
HT
NEO
USDN
LDO
CRV
PAXG
WAVES
BAT
CAKE
NEXO
DASH
STX
LRC
ENJ
ZIL
GMT
MINA
KAVA
BTG
GNO
TWT
FEI
1INCH
KSM
XEM
AR
CELO
DCR
XDC
CEL
HOT
CVX
GALA
COMP
QTUM
ROSE
ANKR
GT
KNC
YFI
RVN
KDA
GUSD
OP
IOTX
AMP
TFUEL
USTC
BAL
BORA
ONE
OMG
XYM
ENS
JST
ZRX
ICX
LPT
RSR
GLM
AUDIO
IOST
HIVE
ONT
SRM
ZEN
ABBC
FLUX
GLMR
WAXP
STORJ
SC
UMA
IMX
SXP
BTCST
SCRT
WOO
XCH
SKL
SLP
MXC
POLY
CHSB
BTRST
DGB
ELON
CSPR
NFT
CEEK
PLA
DAO
SPELL
SUSHI
RNDR
CVC
PUNDIX
LSK
KEEP
CKB
CELR
REN
EWT
EPS
MED
INJ
XNO
WIN
NU
DYDX
REQ
ONG
PEOPLE
ORBS
RLY
FX
CFX
COTI
API3
ARDR
MX
ACA
POWR
NMR
VLX
XYO
RLC
FXS
OCEAN
SYS
TRIBE
BNT
PROM
DENT
UOS
SNT
TEL
