BTC
ETH
USDT
USDC
BNB
BUSD
XRP
ADA
SOL
DOGE
DOT
DAI
MATIC
SHIB
TRX
AVAX
LEO
WBTC
UNI
ETC
LTC
FTT
LINK
ATOM
CRO
NEAR
XLM
XMR
BCH
ALGO
FLOW
VET
ICP
FIL
EOS
APE
MANA
SAND
HBAR
XTZ
CHZ
EGLD
QNT
AXS
AAVE
THETA
TUSD
BSV
XEC
OKB
USDP
ZEC
KCS
BTT
MIOTA
HNT
MKR
USDD
HT
KLAY
GRT
FTM
SNX
USDN
NEO
RUNE
PAXG
CAKE
CRV
NEXO
LDO
BAT
WAVES
DASH
STX
ZIL
LRC
ENJ
MINA
FEI
KAVA
BTG
GMT
DCR
XEM
TWT
KSM
GNO
1INCH
CELO
ANKR
HOT
AR
GALA
CVX
GT
XDC
COMP
QTUM
YFI
ROSE
TFUEL
IOTX
GUSD
KDA
KNC
RVN
BORA
AMP
CEL
FLUX
BAL
XYM
ZRX
OMG
JST
ONE
ICX
RSR
USTC
GLM
OP
LPT
IOST
ENS
AUDIO
HIVE
STORJ
WAXP
ONT
SC
SRM
ZEN
GLMR
UMA
IMX
MXC
SCRT
BTRST
XCH
SXP
ABBC
POLY
SKL
CHSB
SLP
WOO
CSPR
NFT
PLA
DGB
ELON
DAO
CVC
CEEK
SPELL
EPS
LSK
KEEP
PUNDIX
SUSHI
CKB
RNDR
BTCST
MED
VGX
CELR
EWT
XNO
REN
WIN
NU
PEOPLE
ONG
INJ
CFX
ORBS
TRIBE
REQ
FX
ARDR
DYDX
RLC
RLY
UOS
POWR
COTI
SNT
NMR
MX
XYO
VLX
API3
TEL
OCEAN
CHR
PROM
BNT
ACA
DENT
